# Shared: z_dim=32, hidden=256, lr=1e-4, batch=512, updates/stage=60k, tasks=Q1->Q2->Q3
method_id,label,sweep,z_sampling,distill_fb,distill_pi,distill_input,alpha_distill,ema_decay,extra_params,mean_d_avg_mean,mean_d_avg_std,s10_avg_mean,s10_avg_std,s10_Q1_mean,s10_Q1_std,s10_Q3_mean,s10_Q3_std,n_seeds
M1,D7 fdws B,z_sampling,FDWS B,FB_l2,pi_gram,replay,1.0,0.5,,0.14140326245558554,0.009447686540849065,0.3826388888888889,0.00839100414832956,0.4708333333333334,0.05621140651346682,0.32083333333333336,0.016404183070857933,3
M2,D8 fdws FB,z_sampling,FDWS FB,FB_l2,pi_gram,replay,1.0,0.5,,0.14140326245558554,0.009447686540849065,0.3826388888888889,0.00839100414832956,0.4708333333333334,0.05621140651346682,0.32083333333333336,0.016404183070857933,3
M3,D10 fdws piFB,z_sampling,FDWS piFB,FB_l2,pi_gram,replay,1.0,0.5,,0.14442152650299248,0.004534534150151096,0.4055555555555556,0.024076299754666308,0.5,0.06394170522176167,0.3541666666666667,0.07660323462854265,3
M4,FDWS t=1.0 s=rep,fdws_sweep,FDWS FB tau=1.0,FB_l2,pi_gram,replay,1.0,0.0,"tau=1.0,sens=replay",0.14532938104497992,0.010578087224014866,0.3902777777777778,0.018967361505205105,0.47291666666666665,0.04340138886666596,0.32708333333333334,0.016404183070857933,3
M5,vMFmix20+Bpi,vmf_sweep,vMF mix K=20,B_l2,pi_gram,replay,1.0,-,"K=20,kappa=10",0.1495345413025158,0.01504621072652107,0.42569444444444443,0.05358483812183453,0.46249999999999997,0.03679900360969934,0.4354166666666666,0.11020025962865161,3
M6,FDWS t=1.0 s=cur,fdws_sweep,FDWS FB tau=1.0,FB_l2,pi_gram,replay,1.0,0.0,"tau=1.0,sens=current",0.14998951837705035,0.0028174505533194952,0.36874999999999997,0.03761556267764126,0.4625000000000001,0.07954951288348662,0.3,0.035355339059327355,3
M7,FDWS t=0.5 s=cur,fdws_sweep,FDWS FB tau=0.5,FB_l2,pi_gram,replay,1.0,0.0,"tau=0.5,sens=current",0.15658971537518987,0.02206990926297287,0.3326388888888889,0.07554457640818008,0.4395833333333334,0.12036547354711909,0.25625000000000003,0.013501543121683054,3
M8,D9 fdws pi,z_sampling,FDWS pi,FB_l2,pi_gram,replay,1.0,0.5,,0.1583859327876578,0.008947350023589307,0.35694444444444445,0.053395507740947444,0.3979166666666667,0.06581487082888048,0.2729166666666667,0.08421409554753224,3
M9,piGram+FB_rep,combined,random,FB_l2,pi_gram,replay,1.0,-,,0.1687752878629706,0.020841544799287043,0.3333333333333333,0.04762896722078403,0.4354166666666666,0.029017475577466905,0.26875,0.008838834764831839,3
M10,vMFmix5+FBpi,vmf_sweep,vMF mix K=5,FB_l2,pi_gram,replay,1.0,-,"K=5,kappa=10",0.17024464161174058,0.030408312211844608,0.3451388888888889,0.064017081536064,0.4145833333333333,0.03830161731427133,0.28750000000000003,0.045927932677184584,3
